plot,feve,fdiv,fdis
F10P1,0.586147423,0.69414517,1.682602151
F10P2,0.668118589,0.789270419,1.779194331
F10P3,0.682463633,0.822034021,1.634656729
F10P4,0.623080083,0.827762115,1.62522767
F11P1,0.757533937,0.853087822,2.024027009
F11P2,0.761407243,0.724135514,2.124562813
F11P3,0.773159938,0.847740162,1.925353119
F12P1,0.617450456,0.765789476,1.99044343
F12P2,0.658525474,0.694454936,1.95095273
F12P3,0.659598347,0.643838221,1.741229266
F12P4,0.652729216,0.682740598,1.971187537
F13P1,0.803776418,0.886815014,2.125870411
F13P2,0.817849977,0.858151071,2.237204987
F13P3,0.626684782,0.813674854,2.049621555
F13P4,0.658396728,0.80994639,1.929124568
F1P1,0.490204418,0.597511984,0.909228318
F1P2,0.652671167,0.605888918,1.297866035
F1P3,0.776502282,0.60180022,1.402935767
F1P4,0.768050027,0.442530728,1.29060103
F2P1,0.768600944,0.663161768,1.853840221
F2P2,0.658081711,0.756482971,1.719393336
F2P3,0.755693609,0.665153103,1.8107307
F30P1,0.822998792,0.82361781,1.94194244
F30P2,0.634764477,0.732862066,1.720259136
F30P3,0.753435671,0.807760599,1.624245206
F30P4,0.736752022,0.720547722,1.595754455
F31P1,0.693100398,0.730340461,2.28050918
F31P2,0.816459324,0.81558204,2.451440414
F32P1,0.712988452,0.810783025,1.861887773
F32P2,0.757247335,0.721031826,1.894409013
F32P3,0.762958676,0.728261554,2.114398699
F33P1,0.744682434,0.765702019,1.470461232
F33P2,0.700810961,0.547954156,1.398157167
F33P3,0.746464594,0.639675055,1.590709792
F33P4,0.732790304,0.642679322,1.992046173
F34P1,0.795907219,0.755224253,2.291854114
F34P2,0.822562577,0.780646403,2.503264669
F34P3,0.814877723,0.700959155,2.105654402
F34P4,0.819454461,0.760702729,1.995880943
F35P1,0.729851383,0.816348871,2.086030542
F35P2,0.804052873,0.870476567,2.124467118
F36P1,0.752476978,0.750112063,2.149717406
F36P2,0.619030126,0.787793575,1.95524554
F37P1,0.689790789,0.683360387,1.722654774
F37P2,0.626333418,0.602155985,1.359426329
F37P3,0.719227322,0.737899832,1.508786165
F37P4,0.753106938,0.682164856,1.55051898
F38P1,0.794241302,0.758431641,2.167787833
F38P2,0.829007359,0.788706864,1.850563951
F38P3,0.620564473,0.689242243,1.249265028
F38P4,0.820663803,0.714194632,1.811685887
F39P1,0.802707525,0.748744037,1.446462231
F39P2,0.734718419,0.692692641,1.843705541
F3P1,0.773560059,0.737925868,2.230612617
F3P2,0.702226014,0.650951361,1.665080423
F3P3,0.608870785,0.64151055,1.879175697
F3P4,0.676558609,0.67649968,2.009283504
F40P1,0.72756625,0.743372808,1.635817131
F40P2,0.772837071,0.752655742,1.706231469
F40P3,0.802449249,0.756101118,1.670667
F40P4,0.685612196,0.753241318,1.587388996
F41P1,0.835817055,0.741709239,2.352542607
F41P2,0.832460885,0.708281416,1.516339911
F41P3,0.779233604,0.738298688,1.921438851
F41P4,0.790651966,0.739469756,1.683908874
F41P5,0.803933537,0.697045558,2.302133456
F41P6,0.696044792,0.659282251,1.100596086
F42P1,0.499123325,0.593247063,1.633283078
F42P2,0.696738672,0.751259967,1.649178955
F42P3,0.688065152,0.63613912,1.470784312
F42P4,0.762453929,0.707366599,1.703465256
F43P1,0.716594761,0.712297098,1.773940348
F43P2,0.799202716,0.798185499,1.71827574
F43P3,0.675803722,0.709767664,1.790562036
F44P1,0.740457724,0.735066442,1.957159854
F44P2,0.644078857,0.694515491,1.676733675
F44P3,0.633098603,0.604537616,1.745160946
F44P4,0.581947993,0.681708493,1.797027588
F45P1,0.629213084,0.693876194,1.670244078
F45P2,0.729011549,0.724055779,2.016412442
F46P1,0.712012552,0.73880372,1.664518478
F46P2,0.564568442,0.615195339,1.785160046
F47P1,0.681940768,0.66619722,1.761151933
F47P2,0.759109754,0.590724338,1.61718585
F47P3,0.74908172,0.781060611,1.860845262
F48P1,0.825820895,0.691776348,1.50134096
F48P2,0.656280668,0.642192275,1.635982964
F49P1,0.606402395,0.76987624,1.611547723
F49P2,0.554614558,0.608532183,1.822234846
F49P3,0.619269712,0.618765197,1.63277884
F4P1,0.737748502,0.791677674,1.766869952
F4P2,0.601612751,0.68997452,1.870926031
F50P1,0.723419334,0.680907766,1.787600843
F50P2,0.623330262,0.631505902,1.507196581
F50P3,0.701848128,0.710903267,1.702357375
F50P4,0.689716334,0.67477314,1.723499339
F51P1,0.686086966,0.705541744,2.07483287
F51P2,0.775144875,0.63125669,1.433085246
F51P3,0.691217839,0.786967343,2.060180939
F52P1,0.800339584,0.740940873,2.301262825
F52P2,0.736829633,0.722453005,2.215477771
F52P3,0.666236177,0.694684006,1.675997109
F52P4,0.856827318,0.815924618,2.171037198
F52P5,0.651454933,0.632719875,1.445214327
F52P6,0.743645153,0.759122892,1.968538246
F52P7,0.779122843,0.623172494,1.494561739
F53P1,0.802686232,0.795757125,2.480916242
F53P2,0.803135455,0.807757383,1.997858398
F54P1,0.821566992,0.828901165,2.593177171
F54P2,0.838704995,0.8358737,2.488691585
F54P3,0.732232116,0.744568329,2.26518012
F54P4,0.726964383,0.940443276,1.685206177
F54P5,0.869936349,0.80635823,1.983255281
F54P6,0.772858052,0.792213465,2.334183948
F5P1,0.560712426,0.666022335,1.633083207
F5P2,0.583104887,0.58673672,1.585889347
F5P3,0.624767404,0.740468292,2.042681594
F6P1,0.676798838,0.697352248,1.37683237
F6P2,0.719842261,0.691057832,1.80609962
F6P3,0.754955071,0.715337913,1.317705626
F7P1,0.657846971,0.76640886,2.065695778
F7P2,0.629688561,0.701179393,1.716914141
F8P1,0.643362828,0.63952604,1.909189717
F8P2,0.669812267,0.619217437,1.51254218
F9P1,0.545869565,0.46220563,1.250336889
F9P2,0.731699871,0.485111582,1.47967982
F9P3,0.51838296,0.580138026,1.565029069
