"","plot","N","D","Q","U","redundancy"
"1","F10P1",12,0.810950414123967,0.321432507171157,0.396365180377133,0.603634819622867
"2","F10P2",19,0.883975025618106,0.3074679150706,0.347824210141692,0.652175789858308
"3","F10P3",13,0.729766806528121,0.30080932883048,0.412199247950981,0.587800752049019
"4","F10P4",15,0.612476372228103,0.22918854588553,0.374199816152538,0.625800183847462
"5","F11P1",21,0.835909630469679,0.239326198167249,0.286306305662225,0.713693694337775
"6","F11P2",20,0.888888888088889,0.282449382266953,0.317755555336302,0.682244444663698
"7","F11P3",17,0.81,0.304166666666667,0.375514403292181,0.624485596707819
"8","F12P1",15,0.866735537700413,0.189827824110179,0.219014700393874,0.780985299606126
"9","F12P2",13,0.832409971096953,0.35905817188626,0.431347754536256,0.568652245463744
"10","F12P3",16,0.799039782271605,0.373136716578066,0.466981400497067,0.533018599502933
"11","F12P4",15,0.81852551852552,0.35959672308252,0.439322556162076,0.560677443837924
"12","F13P1",16,0.73125,0.241045833333333,0.329635327635328,0.670364672364672
"13","F13P2",25,0.841145832145833,0.268240740159491,0.318899208565519,0.681100791434482
"14","F13P3",19,0.858024692567901,0.234462735359515,0.273258727155991,0.726741272844009
"15","F13P4",15,0.858725762336103,0.254769673041929,0.296683393251002,0.703316606748998
"16","F1P1",6,0.479166667166667,0.24339120416963,0.507946860345717,0.492053139654283
"17","F1P2",8,0.628472223270833,0.25539351889625,0.406372007289479,0.593627992710521
"18","F1P3",7,0.73,0.407733333333333,0.558538812785388,0.441461187214612
"19","F1P4",7,0.607438014991736,0.29473829172551,0.485215420259003,0.514784579740997
"20","F2P1",14,0.806244259889807,0.370823385411019,0.459939256450274,0.540060743549726
"21","F2P2",9,0.67578125,0.37078125,0.548670520231214,0.451329479768786
"22","F2P3",14,0.837868481446712,0.380907029790295,0.45461434368864,0.54538565631136
"23","F30P1",21,0.886965927528394,0.325307373354967,0.366764227642276,0.633235772357724
"24","F30P2",12,0.84125,0.3317375,0.394338781575037,0.605661218424963
"25","F30P3",14,0.856481481935185,0.356234567960247,0.415927927776499,0.584072072223501
"26","F30P4",22,0.877218934029586,0.372460552018107,0.424592467820063,0.575407532179937
"27","F31P1",20,0.928019036287924,0.287087051358319,0.309354700854701,0.690645299145299
"28","F31P2",19,0.923076922615385,0.344595660251499,0.373311965459113,0.626688034540887
"29","F32P1",13,0.907407407666667,0.36979423876,0.407528344639482,0.592471655360518
"30","F32P2",13,0.884353741959184,0.31853363561802,0.360188033933508,0.639811966066492
"31","F32P3",11,0.87,0.333983333333333,0.383888888888889,0.616111111111111
"32","F33P1",17,0.934240363047619,0.245835223293016,0.263139158846732,0.736860841153268
"33","F33P2",9,0.803324099722992,0.381569713758079,0.474988505747126,0.525011494252874
"34","F33P3",15,0.795857986230769,0.401932938274872,0.505030979431959,0.494969020568041
"35","F33P4",13,0.906574394200692,0.305882352894902,0.337404580199501,0.662595419800499
"36","F34P1",19,0.928,0.358901333333333,0.386747126436782,0.613252873563218
"37","F34P2",15,0.897959184190476,0.401027966392381,0.446599325952564,0.553400674047436
"38","F34P3",17,0.928,0.348010666666667,0.375011494252874,0.624988505747126
"39","F34P4",18,0.855029584189349,0.383826429248126,0.448904267578099,0.551095732421901
"40","F35P1",15,0.8125,0.189416666666667,0.233128205128205,0.766871794871795
"41","F35P2",16,0.815426996501377,0.283275175930248,0.347394895123232,0.652605104876768
"42","F36P1",20,0.915224913948097,0.31771626364504,0.347145558215276,0.652854441784724
"43","F36P2",16,0.78922495110775,0.276660364537164,0.350546905731814,0.649453094268186
"44","F37P1",16,0.878086420123457,0.337448559716831,0.38429994130804,0.61570005869196
"45","F37P2",16,0.82299683198823,0.352497359237993,0.42830949711728,0.57169050288272
"46","F37P3",16,0.883656508825485,0.309349030472751,0.350078370252627,0.649921629747373
"47","F37P4",16,0.88625,0.344379166666667,0.388580159849553,0.611419840150447
"48","F38P1",18,0.922711058751486,0.370400317280507,0.401426116840621,0.598573883159379
"49","F38P2",22,0.923822713941828,0.294833794532964,0.319145427021325,0.680854572978675
"50","F38P3",10,0.780612245693878,0.238656462703912,0.305729847335116,0.694270152664884
"51","F38P4",21,0.885813149425606,0.397560553824164,0.448808593642979,0.551191406357021
"52","F39P1",18,0.778393349149584,0.337373037391385,0.433422302181762,0.566577697818238
"53","F39P2",19,0.919875130630593,0.390801248686382,0.424841628687668,0.575158371312332
"54","F3P1",16,0.851111110164444,0.347703703628148,0.408529156153264,0.591470843846736
"55","F3P2",14,0.799586777495868,0.380606060695,0.476003445038168,0.523996554961832
"56","F3P3",11,0.813938199165023,0.241691869642218,0.296941303271129,0.703058696728871
"57","F3P4",17,0.8512,0.319058666666667,0.374833959899749,0.625166040100251
"58","F40P1",13,0.88,0.405472,0.460763636363636,0.539236363636364
"59","F40P2",22,0.924391848056542,0.363186499709498,0.392892365367639,0.607107634632361
"60","F40P3",16,0.888888888888889,0.357658893461362,0.402366255144033,0.597633744855967
"61","F40P4",10,0.85,0.403666666666667,0.474901960784314,0.525098039215686
"62","F41P1",17,0.934240363047619,0.325774754301587,0.348705501482366,0.651294498517634
"63","F41P2",13,0.913580247160494,0.393292181259177,0.430495495586262,0.569504504413738
"64","F41P3",19,0.931952662420118,0.34693293847927,0.372264549980839,0.627735450019161
"65","F41P4",13,0.884688091058601,0.295778197854039,0.334330484205022,0.665669515794978
"66","F41P5",16,0.923611111361111,0.4138194446325,0.448045112864288,0.551954887135712
"67","F41P6",13,0.710743800705234,0.367566574709348,0.517157623245719,0.482842376754281
"68","F42P1",13,0.8072,0.353418666666667,0.437832837793195,0.562167162206805
"69","F42P2",11,0.835640138719723,0.337589389014164,0.403988958131405,0.596011041868595
"70","F42P3",15,0.887573963686391,0.369102564271795,0.415855556126037,0.584144443873963
"71","F42P4",19,0.887351018249904,0.28580545955341,0.322088388557998,0.677911611442002
"72","F43P1",19,0.879474068663258,0.34045775505235,0.387115171650055,0.612884828349945
"73","F43P2",22,0.930612245469388,0.23726258538788,0.25495321659797,0.74504678340203
"74","F43P3",20,0.889462810330579,0.364046143571033,0.409287650189367,0.590712349810633
"75","F44P1",17,0.822716048709136,0.201086418663506,0.244417765982584,0.755582234017416
"76","F44P2",17,0.83875739558284,0.269095166653378,0.320825983854828,0.679174016145172
"77","F44P3",15,0.843888889356667,0.354762962672622,0.420390607278967,0.579609392721033
"78","F44P4",14,0.847050755469136,0.303701418538601,0.358539811903475,0.641460188096524
"79","F45P1",18,0.8837890625,0.305517578125,0.345690607734807,0.654309392265193
"80","F45P2",21,0.891964628637447,0.334740484209181,0.375284482659952,0.624715517340048
"81","F46P1",14,0.883629191633136,0.290063554763072,0.32826388886833,0.67173611113167
"82","F46P2",14,0.7808,0.178282666666667,0.228333333333333,0.771666666666667
"83","F47P1",15,0.843336411738997,0.367423822643693,0.435678831755941,0.564321168244059
"84","F47P2",17,0.787172010892128,0.249615437339128,0.317104055892727,0.682895944107273
"85","F47P3",15,0.869665512906574,0.300171728340841,0.345157677159825,0.654842322840175
"86","F48P1",14,0.878013148283419,0.368298027757487,0.419467554076539,0.580532445923461
"87","F48P2",20,0.839409721130208,0.379626736153073,0.452254395674536,0.547745604325464
"88","F49P1",13,0.80977576257294,0.348568069241461,0.430450113910472,0.569549886089528
"89","F49P2",16,0.856111111906667,0.297522222932267,0.347527580000273,0.652472419999727
"90","F49P3",14,0.835059170912722,0.3400961535525,0.407271922037302,0.592728077962698
"91","F4P1",11,0.730647351576279,0.325495699831197,0.445489467838323,0.554510532161677
"92","F4P2",14,0.86686390483432,0.326617356341164,0.37678043176061,0.62321956823939
"93","F50P1",16,0.849645980668888,0.309945856012473,0.36479411786126,0.63520588213874
"94","F50P2",15,0.849645980353186,0.292122726326542,0.343816993290676,0.656183006709324
"95","F50P3",18,0.868530636926829,0.241435653605854,0.277981735290466,0.722018264709534
"96","F50P4",9,0.734618915987144,0.357551270070346,0.486716666681372,0.513283333318628
"97","F51P1",22,0.885459534928669,0.217624601540814,0.245775885804138,0.754224114195862
"98","F51P2",15,0.830812853455577,0.197948959888425,0.238259385450166,0.761740614549834
"99","F51P3",20,0.899741454244757,0.215558748406985,0.239578544914244,0.760421455085756
"100","F52P1",16,0.9270833335625,0.393310185241528,0.424244694088239,0.575755305911761
"101","F52P2",22,0.946492271360285,0.371256440572636,0.392244555826189,0.607755444173811
"102","F52P3",18,0.85992428372093,0.314115738379845,0.365283018896329,0.634716981103671
"103","F52P4",16,0.920138889173611,0.332557870659282,0.36142138384995,0.63857861615005
"104","F52P5",21,0.895,0.257191666666667,0.287364990689013,0.712635009310987
"105","F52P6",21,0.93935790764566,0.247451446986952,0.263426160543159,0.736573839456841
"106","F52P7",15,0.813148789643599,0.268402538201788,0.330078014774428,0.669921985225572
"107","F53P1",15,0.897777777546667,0.386570370109689,0.430585808401339,0.569414191598661
"108","F53P2",11,0.78925619714876,0.312011018417796,0.3953228616322,0.6046771383678
"109","F54P1",16,0.922495274102079,0.317794580970384,0.344494535519126,0.655505464480874
"110","F54P2",17,0.9152,0.362517333333333,0.396107226107226,0.603892773892774
"111","F54P3",13,0.819444445305556,0.428090278245903,0.52241525425958,0.47758474574042
"112","F54P4",11,0.675849402369146,0.247407406814545,0.366068840110348,0.633931159889652
"113","F54P5",15,0.9296875,0.374479166666667,0.402801120448179,0.597198879551821
"114","F54P6",23,0.913494810176471,0.330184544438431,0.361452020044477,0.638547979955523
"115","F5P1",12,0.821799308577855,0.381216839819458,0.463880701578058,0.536119298421942
"116","F5P2",11,0.795529257341223,0.318930528316055,0.400903581323921,0.599096418676079
"117","F5P3",12,0.79678638810586,0.336641461980933,0.422499012290113,0.577500987709887
"118","F6P1",9,0.688865766586889,0.360332986946653,0.523081570350039,0.476918429649961
"119","F6P2",18,0.880859375,0.388671875,0.441241685144124,0.558758314855876
"120","F6P3",12,0.74666666552,0.3929925925656,0.526329365851506,0.473670634148494
"121","F7P1",13,0.84473527697561,0.411834225718699,0.487530516297581,0.512469483702419
"122","F7P2",14,0.81301652917562,0.333168044467135,0.409792461175371,0.590207538824629
"123","F8P1",13,0.765052060631055,0.387004677814052,0.505854042788709,0.494145957211291
"124","F8P2",9,0.641274236759003,0.331731301534884,0.517300216536771,0.482699783463229
"125","F9P1",9,0.609693877806122,0.249744898039864,0.409623430923282,0.590376569076718
"126","F9P2",12,0.70967742116129,0.393916060342019,0.555063538159956,0.444936461840044
"127","F9P3",8,0.622589530655647,0.302528313239571,0.485919371180205,0.514080628819795
